guten_bid,guten_bname,guten_blan,guten_aid,guten_aname,guten_aalias,good_isbn,good_series,good_lan,good_author_id,good_bid,good_workid,good_title,good_title_without_series,good_aname,good_original_title,good_title_list,guten_bname_list,new_match_good,new_match_guten
41,The Legend of Sleepy Hollow,en,322,"Irving, Washington","['Crayon, Geoffrey']",1609927389,[],eng,28525,24820420,24816020,The Legend of Sleepy Hollow,The Legend of Sleepy Hollow,Washington Irving,The Legend of Sleepy Hollow,"['legend', 'sleepy', 'hollow']","['legend', 'sleepy', 'hollow']","[18906112, 18137986, 8856578, 10238338, 9684614, 18341512, 18681230, 11991695, 3654673, 9711252, 418837, 36209814, 418839, 25436952, 3733789, 14352801, 18619169, 21481510, 2242857, 16055593, 1377581, 11836206, 23232559, 763951, 36360750, 1979437, 2940212, 12533946, 6379450, 527164, 527165, 24820420, 24915782, 15998151, 9659083, 8856651, 93261, 763982, 23197903, 23263823, 763984, 30195792, 93268, 6347605, 36113621, 6262231, 26854232, 18580182, 23197017, 23197024, 23320802, 8445283, 10244962, 8856550, 3307372, 8420467, 17342579, 13513588, 27996286]","[41, 23965]"
42,The Strange Case of Dr. Jekyll and Mr. Hyde,en,117,"Stevenson, Robert Louis","['Stevenson, R. L. (Robert Louis)']",0140620516,[],eng,854076,288840,3164921,The Strange Case of Dr Jekyll and Mr Hyde,The Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,The Strange Case of Dr Jekyll and Mr Hyde,"['strange', 'case', 'dr', 'jekyll', 'mr', 'hyde']","['strange', 'case', 'dr', 'jekyll', 'mr', 'hyde']","[15760909, 17204238, 23267890, 8572981, 18746934, 8938037, 288830, 288840, 7741512, 288853, 288858, 9900650, 35427437, 6443632, 1004145, 20455537, 27242121, 27231888, 11358359, 8487064, 6487198, 22050462, 12863144, 15848107, 982208, 7685330, 18284256, 25180389, 20407525, 25339636, 13341428, 6649081, 14574841, 32960272, 7015190, 17981725, 26895647, 12362532, 9774374, 51495, 51496, 11274026, 51498, 1539882, 51501, 9667885, 13007153, 564020, 3078964, 24552757, 564023, 564024, 827193, 22812478, 18831169, 8468805, 25941323, 917333, 12148059, 424796, 8137056, 31937392, 6440308, 33627516, 28685187, 16678297, 16060314, 6105499, 9886621, 7174647, 27864998, 7140786, 7753650, 13498806, 13507538, 12432857, 199134, 30246881, 33980388, 6599142, 690668, 17703927]","[42, 43, 26247]"
44,The Song of the Lark,en,588,"Cather, Willa","['Catherova, Willa', 'Cather, Wilella', 'Cather, Willa Sibert', 'Catherová, Willa']",1501015761,['422864'],,881203,23182227,1385675,The Song of the Lark,The Song of the Lark,Willa Cather,The Song of the Lark,"['song', 'lark']","['song', 'lark']","[9745664, 3912321, 10048098, 516035, 2240259, 3437318, 953350, 9994967, 2327659, 23182227, 8136695, 9994964, 48214, 18652349, 2829753, 2236508, 147613]",[44]
45,Anne of Green Gables,en,3666,"Montgomery, L. M. (Lucy Maud)","['Montgomery, Lucy Maud', 'MacDonald, Lucy Maud Montgomery']",0613996631,['166565'],,5350,65832,3464264,Anne of Green Gables,Anne of Green Gables,L.M. Montgomery,Anne of Green Gables,"['anne', 'green', 'gables']","['anne', 'green', 'gables']","[20758532, 14794247, 18222604, 6950420, 6422553, 1040925, 686123, 18939949, 1263152, 18051121, 1026621, 20413001, 1839694, 1839696, 1782865, 20449885, 1000030, 2452579, 25995879, 30300779, 10900079, 1823349, 5486715, 2030719, 17909891, 32874115, 18685572, 2627723, 7880342, 13559966, 20764332, 543918, 23161520, 3047600, 2511026, 2511027, 2238646, 2032824, 30810297, 6944444, 17160896, 1286850, 21518018, 938186, 65754, 65759, 8717025, 883427, 2732268, 1676012, 2732270, 27790576, 65776, 23518960, 1245939, 34604276, 65779, 2515700, 29543180, 65807, 65815, 65816, 3116313, 26856729, 20819743, 20312870, 65832, 823592, 65834, 22528298, 7670575, 8690479, 2194742, 30125907, 20893527, 5632347, 16000355, 18307429, 33149293, 857973, 1391990, 13135225, 1374595, 1374602, 3218328, 866206, 10060728, 26827193, 6278074, 3052477, 3052481, 26817985, 8130, 8131, 3608517, 8134, 3068880, 17245652, 6362083, 6362084, 1411559, 1146344, 17452009, 7997927, 7148523, 24734702, 1411569, 20894200, 7148538, 84988]","[19576, 20593, 45]"
47,Anne of Avonlea,en,3666,"Montgomery, L. M. (Lucy Maud)","['Montgomery, Lucy Maud', 'MacDonald, Lucy Maud Montgomery']",081670466X,['145342'],,5350,2968207,63845,Anne of Avonlea,Anne of Avonlea,L.M. Montgomery,Anne of Avonlea,"['anne', 'avonlea']","['anne', 'avonlea']","[20937090, 547971, 957956, 6224395, 2968207, 11074197, 547990, 318871, 20819744, 20312871, 4143658, 3052476, 8139, 8141, 8142, 8143, 3608654, 3017558, 9520987, 18051056, 18051057, 2976628, 3574, 1332092]","[19575, 47]"
51,Anne of the Island,en,3666,"Montgomery, L. M. (Lucy Maud)","['Montgomery, Lucy Maud', 'MacDonald, Lucy Maud Montgomery']",0786180498,['150218'],,5350,37705,535245,Anne of the Island,Anne of the Island,L.M. Montgomery,Anne of the Island,"['anne', 'island']","['anne', 'island']","[5049357, 21193229, 5867417, 5859482, 2544410, 21219361, 20819745, 823587, 20312872, 548010, 17909931, 548014, 2499253, 18668472, 19226683, 1899588, 37705, 37708, 7294291, 3622874]","[20265, 51]"
54,The Marvelous Land of Oz,en,731,"Baum, L. Frank (Lyman Frank)","['Baum, Lyman Frank', 'Bancroft, Laura', 'Metcalf, Suzanne', 'Van Dyne, Edith', 'Fitzgerald, Capt. Hugh']",1568522266,"['403823', '847339']",eng,3242,1052042,21430714,The Marvelous Land Of Oz,The Marvelous Land Of Oz,L. Frank Baum,The Marvelous Land of Oz,"['marvelous', 'land', 'oz']","['marvelous', 'land', 'oz']","[16280832, 7913796, 17885894, 1189894, 1052042, 17689676, 22880078, 19673776, 753073, 9594323, 13511956, 27858388, 5485372, 2866748, 11436447]","[17426, 19466, 54]"
55,The Wonderful Wizard of Oz,en,731,"Baum, L. Frank (Lyman Frank)","['Baum, Lyman Frank', 'Bancroft, Laura', 'Metcalf, Suzanne', 'Van Dyne, Edith', 'Fitzgerald, Capt. Hugh']",184749577X,['160108'],,3242,33509754,1993810,The Wonderful Wizard of Oz,The Wonderful Wizard of Oz,L. Frank Baum,The Wonderful Wizard of Oz,"['wonderful', 'wizard', 'oz']","['wonderful', 'wizard', 'oz']","[6965760, 2253312, 25414407, 15945612, 8924943, 60178, 1990165, 22818966, 18427288, 26586144, 33542817, 22515106, 8198820, 483748, 8705573, 13071141, 12342568, 19204518, 483750, 236075, 1127724, 236076, 23598638, 483756, 383783, 22753714, 1607603, 2603702, 236087, 6041147, 10973756, 14575293, 847040, 10562125, 12902734, 15818319, 3416658, 2603731, 17368148, 9243349, 398166, 723414, 22353106, 483669, 1638878, 19276255, 10142306, 29540195, 1154147, 15924964, 16309732, 23067754, 8188266, 33509754, 24596335, 883442, 1319674, 18394493]","[43936, 21179, 55]"
57,Aladdin and the Magic Lamp,en,301,Unknown,[],,[],,4699102,18945048,26954077,Aladdin and the Magic Lamp,Aladdin and the Magic Lamp,Unknown,,"['aladdin', 'magic', 'lamp']","['aladdin', 'magic', 'lamp']",[18945048],[57]
58,Paradise Regained,en,2075,"Milton, John",[],9626343990,['465550'],,9876,1173087,17792,Paradise Regained,Paradise Regained,John Milton,Paradise Regained,"['paradise', 'regained']","['paradise', 'regained']","[15998, 7685166, 1173087]",[58]
59,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,en,1027,"Descartes, René","['Descartes, Rene']",1466339985,[],,36556,22814921,17612730,Discourse on the Method of Rightly Conducting One's Reson and of Seeking Truth in the Sciences,Discourse on the Method of Rightly Conducting One's Reson and of Seeking Truth in the Sciences,Rene Descartes,,"['discourse', 'method', 'rightly', 'conducting', 'one', 'reson', 'seeking', 'truth', 'sciences']","['discourse', 'method', 'rightly', 'conducting', 'one', 'reason', 'seeking', 'truth', 'sciences']","[6377296, 22814921]","[59, 19796]"
60,The Scarlet Pimpernel,en,2508,"Orczy, Emmuska Orczy, Baroness","['Barstow, Montagu, Mrs.', 'Orczy, Baroness Emmuska']",1596009462,"['852695', '179528']",,2893961,502868,750426,The Scarlet Pimpernel,The Scarlet Pimpernel,Emmuska Orczy,The Scarlet Pimpernel,"['scarlet', 'pimpernel']","['scarlet', 'pimpernel']","[77442, 2084098, 8231554, 10879240, 11817353, 1379212, 18297740, 31502, 7137166, 752784, 1294230, 30166552, 13432218, 13432220, 20421789, 17913886, 6397598, 15814176, 6277794, 20597031, 22601641, 17172266, 6899754, 2947500, 136116, 240567, 1713728, 502905, 3355200, 1104763, 1112132, 6452934, 10201543, 22971337, 13633741, 12027087, 502864, 16370384, 502865, 4655955, 502868, 2750673, 5451091, 1061079, 18277464, 20598360, 14544732, 502881, 1061098, 15833451, 1061099, 34934512, 19058801, 502898, 502899, 1444468, 54517, 286963, 5497969, 584566, 11016953, 8497019, 21799423]","[28808, 60]"
61,The Communist Manifesto,en,2847,"Marx, Karl","['Marx, Heinrich Karl']",,[],,7084,32872097,2205479,The Communist Manifesto,The Communist Manifesto,Karl Marx,Manifest der Kommunistischen Partei,"['communist', 'manifesto']","['communist', 'manifesto']","[36245635, 6234375, 16175624, 30474, 26710667, 30479, 22571536, 30480, 30481, 969491, 21899029, 30485, 30486, 30488, 556313, 8805658, 30491, 18745882, 194971, 17314975, 32872097, 18113827, 9852709, 1432614, 24407205, 10280874, 299178, 22241197, 18626863, 22844723, 642612, 2308151, 3318071, 9719610, 818875, 7934907, 6672829, 818878, 154047, 9948220, 34068925, 10292685, 12968656, 11253842, 7105494, 43098, 24874335, 448992, 25804512, 5329762, 10796006, 699878, 7508460, 2720492, 6404593, 23269106, 946036, 9454710, 6977530, 2173692, 19155709]","[23905, 61]"
62,A Princess of Mars,en,2429,"Burroughs, Edgar Rice",[],,"['155150', '1100742']",eng,10885,12694261,1129624,A Princess of Mars,A Princess of Mars,Edgar Rice Burroughs,A Princess of Mars,"['princess', 'mars']","['princess', 'mars']","[14539907, 8534788, 10192015, 13503251, 9870611, 11424028, 19665575, 9207592, 12640041, 24571059, 10223822, 10544085, 13160667, 12353645, 19209198, 1512944, 13543283, 12694261, 12718966]","[19515, 8748, 62, 36102]"
64,The Gods of Mars,en,2429,"Burroughs, Edgar Rice",[],146810148X,"['163806', '1100743']",,10885,18819315,2816507,The Gods of Mars,The Gods of Mars,Edgar Rice Burroughs,The Gods of Mars,"['gods', 'mars']","['gods', 'mars']","[8706594, 10377923, 14527403, 12328081, 18819315, 10627924, 40373, 3024183]","[64, 29405, 8749, 21519]"
68,Warlord of Mars,en,2429,"Burroughs, Edgar Rice",[],,"['163807', '1100744']",,10885,20122872,2816562,Warlord of Mars,Warlord of Mars,Edgar Rice Burroughs,The Warlord of Mars,"['warlord', 'mars']","['warlord', 'mars']","[20122872, 12534129, 2790786, 13136942]","[23713, 68, 8750]"
70,What Is Man? and Other Essays,en,249,"Twain, Mark","['Clemens, Samuel Langhorne', 'Twain, Mark (Samuel Clemens)']",1406502537,[],,1244,298648,50324599,What Is Man? and Other Essays,What Is Man? and Other Essays,Mark Twain,,"['man?', 'essays']","['man?', 'essays']","[298648, 36050602]","[9041, 70]"
71,On the Duty of Civil Disobedience,en,3133,"Thoreau, Henry David","['Thoreau, Henry D. (Henry David)']",1604244291,[],eng,10264,2624143,40809986,On the Duty of Civil Disobediance,On the Duty of Civil Disobediance,Henry David Thoreau,Resistance to Civil Government,"['duty', 'civil', 'disobediance']","['duty', 'civil', 'disobedience']","[28458880, 5071425, 186723, 28797295, 2624143, 21223632, 2480468, 3257016]","[26573, 71]"
72,"Thuvia, Maid of Mars",en,2429,"Burroughs, Edgar Rice",[],,"['156922', '1100747']",eng,10885,12446508,1387380,"Thuvia, Maid of Mars","Thuvia, Maid of Mars",Edgar Rice Burroughs,"Thuvia, Maid of Mars","['thuvia', 'maid', 'mars']","['thuvia', 'maid', 'mars']",[12446508],"[72, 8751]"
73,The Red Badge of Courage: An Episode of the American Civil War,en,426,"Crane, Stephen","['Smith, Johnston']",0679602968,[],,19879,2230915,2314709,The Red Badge of Courage: An Episode of the American Civil War,The Red Badge of Courage: An Episode of the American Civil War,Stephen Crane,The Red Badge of Courage,"['red', 'badge', 'courage', 'episode', 'american', 'civil', 'war']","['red', 'badge', 'courage', 'episode', 'american', 'civil', 'war']","[2230915, 1833717, 2067622, 5738277]","[73, 463]"
74,The Adventures of Tom Sawyer,en,249,"Twain, Mark","['Clemens, Samuel Langhorne', 'Twain, Mark (Samuel Clemens)']",,[],eng,1244,10846264,41326609,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,Mark Twain,The Adventures of Tom Sawyer,"['adventure', 'tom', 'sawyer']","['adventure', 'tom', 'sawyer']","[28014594, 24579, 24581, 24583, 24584, 2450463, 1572904, 7010346, 924212, 3381300, 34820663, 10846264, 12425287, 3209801, 18242130, 1662549, 42583, 3209816, 494172, 1004128, 666721, 1004130, 3209834, 8596083, 1183375, 2897556, 2518165, 13416095, 933539, 9458852, 7703719, 1035438, 13447855, 409265, 20893362, 2250439, 1852110, 2084558, 21518036, 6281944, 1503449, 6122208, 1026279, 1026283, 23878386, 20631795, 12489462, 1026296, 2582777, 17925888, 1026316, 1398035, 7386388, 1026326, 9223959, 13583129, 975130, 1026333, 799010, 1026341, 1026349, 7015214, 2593583, 20263216, 8694064, 2593587, 2262837, 11323701, 1026361, 1026365, 18039613, 22798655, 18920767, 8199489, 31823172, 2593609, 2593610, 3235662, 15758676, 2593626, 1496414, 607582, 1182577, 1164147, 981883, 17800070, 981388, 7350157, 8045969, 2325401, 18880921, 706463, 18668449, 3890602, 20451245, 35109298, 62388, 62391, 3890616, 17347512, 2372027, 3016125, 32188363, 6056909, 6727118, 1929684, 11269078, 32671192, 445402, 445405, 8014813, 8136163, 6091243, 29634033, 6305780, 29394421, 8713723]","[74, 26203, 9038]"
